# base + TSP 微调 配对逐案
arm,k,n_src,T,dist,meas,switch,clear,fail,full,coverage,supplement,on_way,queue_clear,homing,queue_homing,on_way_homing,recovery
base(δ=300),158,11,3151.2,11476,135,126,11,0,1,1703.1,0.0,579.1,869.1,0.0,0.0,0.0,0.0
base(δ=300),159,13,4081.7,15948,138,131,15,2,1,1742.9,462.1,509.8,1338.8,0.0,14.0,14.0,0.0
base(δ=300),160,10,3475.9,12370,160,152,10,0,1,2104.2,0.0,235.4,1136.4,0.0,0.0,0.0,0.0
base(δ=300),161,16,3911.7,15284,130,125,16,0,1,1607.6,0.0,670.7,1633.5,0.0,0.0,0.0,0.0
base(δ=300),162,11,3021.1,10891,132,125,12,1,1,1696.3,0.0,440.3,870.6,0.0,14.0,0.0,0.0
base(δ=300),163,13,4144.9,16044,146,138,14,1,1,1941.5,146.0,244.6,1798.8,0.0,14.0,0.0,0.0
base(δ=300),164,13,4379.7,17118,149,140,15,2,1,1805.0,289.2,500.6,1756.9,0.0,28.0,0.0,0.0
base(δ=300),165,12,3471.5,12517,152,145,13,1,1,1846.3,0.0,434.4,1176.8,0.0,0.0,14.0,0.0
base(δ=300),166,11,3367.8,12269,143,135,14,3,1,1949.0,0.0,233.6,1143.2,0.0,42.0,0.0,0.0
base(δ=300),167,13,4237.7,16403,149,141,15,2,1,1960.0,0.0,319.4,1930.3,0.0,28.0,0.0,0.0
base(δ=300),168,16,4480.5,17952,136,127,17,1,1,1881.8,0.0,325.1,2259.6,0.0,14.0,0.0,0.0
base(δ=300),169,14,3762.1,14286,140,132,15,1,1,1929.6,0.0,348.4,1470.2,0.0,0.0,14.0,0.0
base(δ=300),170,15,4366.4,17222,142,134,16,1,1,1891.6,0.0,361.0,2099.8,0.0,14.0,0.0,0.0
base(δ=300),171,10,4067.6,15723,147,138,10,0,1,2131.7,178.7,79.2,1678.0,0.0,0.0,0.0,0.0
base(δ=300),172,13,4382.1,17011,154,145,13,0,1,2047.5,0.0,222.2,2112.4,0.0,0.0,0.0,0.0
base(δ=300),173,13,3943.6,14833,153,144,14,1,1,2060.1,0.0,237.3,1632.3,0.0,14.0,0.0,0.0
base(δ=300),174,16,4362.0,17110,143,136,19,3,1,1614.4,490.9,796.3,1418.4,0.0,14.0,28.0,0.0
base(δ=300),175,15,3928.3,15366,130,124,17,2,1,1743.0,0.0,586.5,1570.8,0.0,0.0,28.0,0.0
base(δ=300),176,16,4071.9,15925,135,126,18,2,1,1744.9,0.0,577.0,1723.0,0.0,27.0,0.0,0.0
base(δ=300),177,15,4429.6,17598,140,132,16,1,1,1813.6,481.7,433.7,1687.6,0.0,0.0,13.0,0.0
base(δ=300),178,14,3800.2,14671,134,126,14,0,1,1795.5,0.0,625.8,1379.0,0.0,0.0,0.0,0.0
base(δ=300),179,16,3796.8,15079,118,111,16,0,1,1833.3,0.0,299.6,1663.8,0.0,0.0,0.0,0.0
base(δ=300),180,11,4278.1,16735,147,138,12,1,1,1719.0,292.8,590.0,1662.3,0.0,14.0,0.0,0.0
base(δ=300),181,12,4423.2,17501,144,137,14,2,1,1978.4,383.0,239.5,1794.3,0.0,28.0,0.0,0.0
base(δ=300),182,14,4002.2,15496,140,133,14,0,1,1900.8,0.0,351.6,1749.8,0.0,0.0,0.0,0.0
base(δ=300),183,16,4148.3,16196,139,131,17,1,1,1863.7,0.0,491.5,1779.1,0.0,0.0,14.0,0.0
base(δ=300),184,13,4285.3,16481,155,146,14,1,1,2077.8,0.0,182.4,2011.1,0.0,14.0,0.0,0.0
base(δ=300),185,13,4016.0,14965,160,152,15,2,1,2075.1,0.0,210.4,1702.6,0.0,28.0,0.0,0.0
base(δ=300),186,15,4042.5,15978,130,122,15,0,1,1792.7,120.5,385.3,1744.0,0.0,0.0,0.0,0.0
base(δ=300),187,12,4176.4,16367,142,133,12,0,1,1969.1,116.0,343.9,1747.3,0.0,0.0,0.0,0.0
base(δ=300),188,14,4408.4,17327,147,138,14,0,1,1917.1,324.9,418.5,1748.0,0.0,0.0,0.0,0.0
base(δ=300),189,15,4391.0,17175,148,141,15,0,1,2219.7,0.0,34.1,2137.2,0.0,0.0,0.0,0.0
base(δ=300),190,11,4308.1,16440,161,151,14,3,1,2149.9,0.0,103.9,2016.2,0.0,38.1,0.0,0.0
base(δ=300),191,13,4014.4,15397,146,137,14,1,1,1945.8,0.0,339.3,1715.2,0.0,14.0,0.0,0.0
base(δ=300),192,14,3719.0,14205,136,128,14,0,1,1492.6,0.0,906.4,1320.0,0.0,0.0,0.0,0.0
base(δ=300),193,12,4021.0,15395,148,139,13,1,1,1845.7,0.0,437.9,1723.4,0.0,14.0,0.0,0.0
base(δ=300),194,11,3895.2,14306,164,156,12,1,1,2181.9,0.0,125.9,1573.4,0.0,0.0,14.0,0.0
base(δ=300),195,11,3848.5,14448,151,143,13,2,1,2098.9,0.0,113.3,1608.3,0.0,28.0,0.0,0.0
base(δ=300),196,16,4342.5,17733,120,113,17,1,1,1676.3,465.9,425.7,1760.6,0.0,0.0,14.0,0.0
base(δ=300),197,14,3470.1,13326,124,115,14,0,1,1750.0,0.0,408.6,1311.4,0.0,0.0,0.0,0.0
base(δ=300),198,16,4256.7,16633,143,135,16,0,1,1920.9,118.7,322.8,1894.2,0.0,0.0,0.0,0.0
base(δ=300),199,13,4091.0,15530,154,147,14,1,1,2025.7,0.0,323.4,1727.9,0.0,0.0,14.0,0.0
base(δ=300),200,13,4003.3,15552,139,133,13,0,1,1871.8,0.0,361.1,1770.4,0.0,0.0,0.0,0.0
base(δ=300),201,16,3905.6,15258,129,123,18,2,1,1671.2,0.0,533.8,1672.6,0.0,14.0,14.0,0.0
base(δ=300),202,10,3420.8,12319,152,144,11,1,1,1897.1,0.0,472.3,1037.3,0.0,0.0,14.0,0.0
base(δ=300),203,10,3476.6,12493,155,147,12,2,1,2100.0,0.0,290.4,1058.2,0.0,14.0,14.0,0.0
base(δ=300),204,13,3911.5,15102,139,131,13,0,1,1737.6,0.0,510.6,1663.3,0.0,0.0,0.0,0.0
base(δ=300),205,14,4363.9,17029,149,140,15,1,1,1903.8,146.0,396.3,1903.7,0.0,14.0,0.0,0.0
base(δ=300),206,15,3974.0,15340,139,130,17,2,1,1575.8,0.0,744.1,1626.1,0.0,28.0,0.0,0.0
base(δ=300),207,12,3709.1,13991,143,136,12,0,1,1805.7,0.0,486.0,1417.4,0.0,0.0,0.0,0.0
base(δ=300),208,11,3947.0,15045,148,140,12,1,1,1937.1,421.7,340.7,1234.5,0.0,13.0,0.0,0.0
base(δ=300),209,16,3884.9,15244,127,121,16,0,1,1534.8,0.0,685.9,1664.2,0.0,0.0,0.0,0.0
base(δ=300),210,11,3463.7,12784,143,134,12,1,1,1891.0,0.0,382.3,1176.4,0.0,14.0,0.0,0.0
base(δ=300),211,16,4034.0,15860,130,123,19,3,1,1714.1,0.0,477.5,1800.4,0.0,28.0,14.0,0.0
base(δ=300),212,11,4030.0,15060,162,153,11,0,1,2136.1,111.9,182.7,1599.3,0.0,0.0,0.0,0.0
base(δ=300),213,16,4153.5,16472,130,123,18,2,1,1942.2,0.0,134.2,2049.1,0.0,28.0,0.0,0.0
base(δ=300),214,10,3863.6,14403,157,148,10,0,1,2173.8,0.0,99.2,1590.6,0.0,0.0,0.0,0.0
