# 逐案: 当前解与下界(离线全知)
k,n_src,T,L,meas,switch,clear,fail,src_tsp,L_lb,meas_lb,T_lb
251,12,4604.0,16860,197,187,12,0,8488,6151,72,1650.3
252,13,4535.5,16808,186,176,14,1,9747,7011,68,1807.2
253,14,4822.2,18156,188,178,15,1,8691,7763,64,1942.5
254,16,4358.7,16273,171,163,18,2,10424,7695,56,1898.9
255,11,3915.9,13774,186,176,11,0,8591,6548,76,1744.6
256,11,4307.9,15685,187,178,12,1,8641,7422,76,1919.4
257,14,4724.6,17843,181,172,17,3,9419,7575,64,1904.9
258,11,3697.5,12922,178,168,11,0,8943,7631,76,1961.1
259,16,5248.0,20400,183,173,16,0,10030,8683,56,2096.6
260,11,4216.7,15394,182,173,11,0,8829,7447,76,1924.3
261,15,4467.2,16761,175,165,15,0,11069,8838,60,2142.5
262,12,3796.4,13032,190,180,12,0,6257,5027,72,1425.3
263,16,4998.8,19124,184,174,16,0,11605,9728,56,2305.7
264,10,4460.7,16339,192,183,10,0,8153,6978,80,1845.6
265,15,4781.4,18272,177,167,15,0,10224,8422,60,2059.4
266,10,4238.4,15142,195,185,10,0,8353,6367,80,1723.4
267,15,4685.3,17817,176,167,15,0,10520,7977,60,1970.5
268,12,3884.3,13767,180,171,12,0,8015,5968,72,1613.7
269,11,4333.0,15915,184,175,11,0,9474,8453,76,2125.7
270,13,4286.0,15565,185,177,15,2,9181,7754,68,1955.8
271,11,4077.2,14666,183,174,11,0,8679,6638,76,1762.7
272,10,4194.2,15351,180,171,11,1,8440,6281,80,1706.1
273,11,4119.1,15330,168,158,11,0,7382,5812,76,1597.3
274,10,4051.7,14224,194,184,11,1,8816,6386,80,1727.2
275,14,4732.0,17980,179,171,14,0,10722,8984,64,2186.7
276,10,3740.5,13043,182,172,10,0,8364,7282,80,1906.4
277,13,4820.6,18498,177,168,14,1,9441,7089,68,1822.8
278,10,4096.4,14922,178,169,11,1,8512,6239,80,1697.8
279,12,4173.8,15114,183,173,13,1,8532,7305,72,1881.0
280,10,4593.2,17291,182,172,11,1,8353,7175,80,1885.0
281,12,4209.1,15365,181,171,12,0,8270,6643,72,1748.7
282,14,4703.0,17430,193,182,14,0,10198,7477,64,1885.5
283,13,4170.5,15177,180,170,13,0,9169,6374,68,1679.8
284,15,5477.7,21293,192,181,16,1,12044,9575,60,2289.9
285,10,4074.8,14394,191,182,13,3,7214,6329,80,1715.8
286,11,4903.8,18324,199,189,11,0,8844,6634,76,1761.7
287,10,4048.7,14743,176,167,11,1,7442,6188,80,1687.6
288,14,4582.1,17161,181,172,15,1,9826,8052,64,2000.5
289,12,4063.6,14983,169,159,13,1,8880,6177,72,1655.3
290,13,4510.5,16292,199,189,14,1,8598,7255,68,1855.9
291,11,4167.2,15161,181,172,12,1,9039,7082,76,1851.5
292,14,4382.6,16028,186,177,14,0,8523,7181,64,1826.3
293,15,4403.6,16518,172,162,16,1,9555,7488,60,1872.6
294,11,4157.2,14951,187,177,11,0,8330,6525,76,1740.0
295,15,4376.6,16278,176,166,15,0,9789,7660,60,1907.1
296,10,3865.3,13607,184,174,10,0,8569,6438,80,1737.6
297,16,4755.5,17543,196,187,16,0,10810,9011,56,2162.2
298,11,4272.0,15505,187,178,12,1,9338,6674,76,1769.8
299,16,4313.3,15981,174,164,17,1,9853,7290,56,1818.0
