# V2 方案配对实验逐案
arm,k,n_src,T,dist,meas,switch,clear,fail,full,status,prob_discovery,localize,cover_fallback,on_way,queue_clear,exit
v2(七点 r=1500),64,16,10372.4,47162,144,133,19,4,0,incomplete,0.0,1442.1,0.0,348.2,0.0,0.0
v2(七点 r=1500),65,14,7131.1,31201,139,133,13,1,0,incomplete,0.0,1607.1,0.0,847.9,0.0,0.0
v2(七点 r=1500),66,14,9789.3,44101,150,142,17,4,0,incomplete,0.0,1931.0,0.0,539.1,0.0,0.0
v2(七点 r=1500),67,15,8605.8,38444,144,142,11,0,0,incomplete,0.0,1451.9,0.0,1166.6,0.0,0.0
v2(七点 r=1500),68,16,8253.7,36893,132,128,19,4,0,incomplete,0.0,1754.7,0.0,752.3,0.0,0.0
v2(七点 r=1500),69,12,8787.3,37956,192,188,10,1,0,incomplete,0.0,1552.3,0.0,339.3,0.0,0.0
v2(七点 r=1500),70,12,8607.3,37197,185,177,14,2,1,completed,0.0,1610.7,0.0,559.9,0.0,0.0
v2(七点 r=1500),71,16,10099.2,45866,144,137,15,3,0,incomplete,0.0,1227.1,0.0,556.9,0.0,0.0
v2(七点 r=1500),72,13,10533.1,47006,180,174,12,1,0,incomplete,0.0,1870.9,0.0,469.8,0.0,0.0
v2(七点 r=1500),73,11,8293.0,34715,217,215,10,0,0,incomplete,0.0,893.2,0.0,414.9,0.0,0.0
v2(七点 r=1500),74,15,8155.8,36329,138,132,14,1,0,incomplete,0.0,1636.1,0.0,691.8,0.0,0.0
v2(七点 r=1500),75,13,8829.7,39079,159,153,14,2,0,incomplete,0.0,1763.5,0.0,845.3,0.0,0.0
v2(七点 r=1500),76,16,8701.3,39387,126,121,15,1,0,incomplete,0.0,1514.8,0.0,602.9,0.0,0.0
v2(七点 r=1500),77,14,8417.7,37104,156,149,14,1,0,incomplete,0.0,1786.5,0.0,736.2,0.0,0.0
v2(七点 r=1500),78,15,8427.2,37291,150,142,17,4,0,incomplete,0.0,1002.8,0.0,52.9,0.0,0.0
v2(七点 r=1500),79,12,8213.9,35159,187,181,14,2,1,completed,0.0,1486.7,0.0,344.3,0.0,0.0
v2(七点 r=1500),80,12,6736.9,28769,154,150,13,1,1,completed,0.0,2082.8,0.0,466.0,0.0,0.0
v2(七点 r=1500),81,16,9814.0,44835,133,127,11,0,0,incomplete,0.0,1206.3,0.0,630.7,0.0,0.0
v2(七点 r=1500),82,16,10030.3,45626,142,137,12,1,0,incomplete,0.0,1057.4,0.0,525.5,0.0,0.0
v2(七点 r=1500),83,12,7336.7,31184,173,169,14,2,1,completed,0.0,1578.4,0.0,653.8,0.0,0.0
v2(七点 r=1500),84,11,8753.5,37442,205,200,8,0,0,incomplete,0.0,911.8,0.0,1282.0,0.0,0.0
v2(七点 r=1500),85,12,7856.5,34007,167,162,12,1,0,incomplete,0.0,1720.6,0.0,479.0,0.0,0.0
v2(七点 r=1500),86,15,6909.9,30180,133,128,17,2,1,completed,0.0,1353.9,0.0,779.8,0.0,0.0
v2(七点 r=1500),87,15,7498.0,33215,132,130,13,0,0,incomplete,0.0,1577.7,0.0,407.9,0.0,0.0
v2(七点 r=1500),88,12,8629.7,38448,147,142,13,1,1,completed,0.0,2206.8,0.0,276.5,0.0,0.0
v2(七点 r=1500),89,13,8266.2,36511,152,144,12,0,0,incomplete,0.0,1823.4,0.0,1058.2,0.0,0.0
v2(七点 r=1500),90,13,8811.6,38663,171,166,12,1,0,incomplete,0.0,1339.1,0.0,382.2,0.0,0.0
v2(七点 r=1500),91,10,9387.9,40579,205,202,9,0,0,incomplete,0.0,863.7,0.0,329.0,0.0,0.0
v2(七点 r=1500),92,12,9720.1,42911,181,178,11,0,0,incomplete,0.0,1849.6,0.0,660.7,0.0,0.0
v2(七点 r=1500),93,12,7606.1,33065,156,153,12,0,1,completed,0.0,2503.1,0.0,540.1,0.0,0.0
v2(七点 r=1500),94,16,11145.5,51127,140,133,19,4,0,incomplete,0.0,2112.2,0.0,613.4,0.0,0.0
v2(七点 r=1500),95,12,7845.8,33904,168,165,12,0,1,completed,0.0,1701.5,0.0,461.5,0.0,0.0
v2(七点 r=1500),96,12,9420.9,41229,186,178,15,4,0,incomplete,0.0,1710.5,0.0,624.1,0.0,0.0
v2(七点 r=1500),97,11,7680.9,32999,175,171,7,0,0,incomplete,0.0,1593.8,0.0,293.7,0.0,0.0
v2(七点 r=1500),98,11,8806.3,37517,211,208,8,0,0,incomplete,0.0,892.7,0.0,319.8,0.0,0.0
v2(七点 r=1500),99,13,7338.4,31912,149,145,14,2,0,incomplete,0.0,2018.0,0.0,610.6,0.0,0.0
v2(兜底 r=1200),0,13,7595.5,32657,170,163,11,2,0,incomplete,0.0,1389.3,0.0,765.3,0.0,0.0
v2(兜底 r=1200),1,12,7903.9,34224,167,163,13,2,0,incomplete,0.0,1496.8,0.0,416.3,0.0,0.0
v2(兜底 r=1200),2,11,9025.3,39127,193,187,10,1,0,incomplete,0.0,1225.9,0.0,535.4,0.0,0.0
v2(兜底 r=1200),3,13,8918.4,38727,185,179,15,3,0,incomplete,0.0,1089.7,0.0,618.4,0.0,0.0
v2(兜底 r=1200),4,15,8782.7,39214,145,138,17,4,0,incomplete,0.0,1227.5,0.0,898.5,0.0,0.0
v2(兜底 r=1200),5,10,7973.8,34194,181,177,11,1,1,completed,0.0,1009.3,0.0,143.1,0.0,0.0
v2(兜底 r=1200),6,11,8088.7,34473,194,189,7,0,0,incomplete,0.0,1455.5,0.0,413.7,0.0,0.0
v2(兜底 r=1200),7,10,8313.1,35281,202,196,11,2,0,incomplete,0.0,1648.6,0.0,0.0,0.0,0.0
v2(兜底 r=1200),8,12,7846.1,34076,163,158,12,1,0,incomplete,0.0,1830.2,0.0,530.8,0.0,0.0
v2(兜底 r=1200),9,15,8672.7,38454,154,145,15,4,0,incomplete,0.0,1384.0,0.0,671.5,0.0,0.0
v2(兜底 r=1200),10,14,9213.4,40682,169,164,14,1,0,incomplete,0.0,1671.9,0.0,565.8,0.0,0.0
v2(兜底 r=1200),11,15,8310.0,37075,138,134,15,2,0,incomplete,0.0,1697.2,0.0,203.5,0.0,0.0
v2(兜底 r=1200),12,15,10410.3,47247,149,146,14,0,0,incomplete,0.0,1004.4,0.0,333.8,0.0,0.0
v2(兜底 r=1200),13,10,8190.1,34575,206,202,9,1,0,incomplete,0.0,1543.6,0.0,667.5,0.0,0.0
v2(兜底 r=1200),14,16,10653.3,48646,142,136,16,1,0,incomplete,0.0,1095.5,0.0,123.0,0.0,0.0
v2(兜底 r=1200),15,13,9158.2,40226,177,173,11,0,0,incomplete,0.0,1515.2,0.0,435.4,0.0,0.0
v2(兜底 r=1200),16,16,8607.7,38919,123,117,20,4,1,completed,0.0,1521.5,0.0,448.2,0.0,0.0
v2(兜底 r=1200),17,13,8757.6,38583,166,163,10,1,0,incomplete,0.0,1237.9,0.0,390.9,0.0,0.0
v2(兜底 r=1200),18,15,10726.5,48712,151,145,18,3,1,completed,0.0,1473.2,0.0,508.2,0.0,0.0
v2(兜底 r=1200),19,11,9489.3,41347,196,187,11,1,0,incomplete,0.0,1408.7,0.0,112.2,0.0,0.0
v2(兜底 r=1200),20,15,8066.0,35680,144,140,14,0,0,incomplete,0.0,1594.5,0.0,624.2,0.0,0.0
v2(兜底 r=1200),21,12,8526.5,36357,201,197,11,1,0,incomplete,0.0,840.9,0.0,618.5,0.0,0.0
v2(兜底 r=1200),22,12,9087.2,39406,193,191,10,0,0,incomplete,0.0,1071.6,0.0,429.1,0.0,0.0
v2(兜底 r=1200),23,15,9489.5,42827,144,139,13,0,0,incomplete,0.0,1187.0,0.0,274.7,0.0,0.0
v2(兜底 r=1200),24,13,8406.6,36753,164,153,19,6,1,completed,0.0,1227.3,0.0,630.5,0.0,0.0
v2(兜底 r=1200),25,13,10193.9,45414,177,164,14,4,0,incomplete,0.0,805.5,0.0,287.7,0.0,0.0
v2(兜底 r=1200),26,13,10006.4,44452,176,170,14,2,0,incomplete,0.0,1919.3,0.0,194.7,0.0,0.0
v2(兜底 r=1200),27,12,8440.7,36199,192,188,11,1,0,incomplete,0.0,965.9,0.0,133.0,0.0,0.0
v2(兜底 r=1200),28,11,9006.0,38925,196,188,11,1,0,incomplete,0.0,1958.1,0.0,235.6,0.0,0.0
