# 问题三 权衡分析逐案明细(同一场景 + 固定误差场; need = 基础扫描后需补测频道数, 运行时可观测)
k,n_src,need_base6,T_base6,T_aux9,T_adopted,dT_adopted,dT_aux9,cov_base6,cov_adopted,sup_base6,sup_adopted,fired,resolved
174,11,3,4680.0,5121.5,4363.8,-316.1,441.5,1678.9,2397.1,769.8,0.0,True,3
175,14,2,4512.9,5745.9,4564.3,51.5,1233.0,2190.3,2515.1,437.9,0.0,True,1
176,16,8,5589.6,6748.5,4895.1,-694.5,1158.9,1961.7,2597.4,1229.2,0.0,True,4
177,16,3,4668.6,5966.2,4781.2,112.5,1297.5,1782.8,2366.8,571.8,359.3,True,1
178,11,4,5071.6,6037.9,4084.4,-987.1,966.4,1853.3,2317.1,1170.4,0.0,True,1
179,14,4,5155.8,5927.8,4666.1,-489.7,772.0,1910.5,2309.4,859.7,0.0,True,3
180,14,3,5116.3,6282.3,4909.2,-207.1,1166.0,1937.6,2379.9,645.7,0.0,True,2
181,16,3,5470.6,6125.0,4695.4,-775.2,654.4,1773.0,2285.1,823.1,0.0,True,2
182,11,1,3565.0,4820.2,3919.0,353.9,1255.2,1678.4,2425.1,167.6,0.0,True,0
183,15,3,4280.2,5419.4,4013.4,-266.8,1139.2,1421.8,2108.9,695.0,0.0,True,1
184,13,2,4616.5,6005.5,4485.9,-130.6,1389.0,1984.2,2468.9,408.5,0.0,True,0
185,16,2,4627.2,5233.2,4434.5,-192.6,606.0,1592.7,2191.5,249.4,94.2,True,2
186,13,4,5069.6,5779.5,4731.4,-338.2,709.9,1897.0,2336.9,895.4,0.0,True,3
187,12,1,4273.3,5341.8,4668.7,395.5,1068.5,1726.2,2432.2,165.4,0.0,True,1
188,14,2,4342.9,5672.6,4390.6,47.7,1329.7,2011.7,2294.6,445.2,0.0,True,1
189,10,2,4076.0,5470.1,4051.7,-24.3,1394.1,1706.9,2248.5,511.0,0.0,True,0
190,10,1,3402.0,4511.0,3871.5,469.5,1109.0,1663.5,1973.8,146.3,0.0,True,1
191,13,2,4885.0,5187.8,4273.7,-611.3,302.8,1710.2,2525.1,525.4,0.0,True,2
192,14,2,4642.7,5301.8,4107.5,-535.2,659.2,1810.0,2422.7,558.6,0.0,True,1
193,13,3,4910.6,5299.7,4338.9,-571.7,389.1,1866.2,2318.3,532.4,0.0,True,3
194,10,2,4302.6,4910.8,3866.8,-435.8,608.2,2080.9,2421.7,575.7,0.0,True,2
195,16,4,5045.8,5416.0,4365.9,-679.9,370.2,1794.2,2356.4,1055.0,0.0,True,4
196,15,4,4702.9,5920.5,4480.7,-222.2,1217.6,1948.7,2212.2,648.6,189.4,True,1
197,13,4,4434.9,5396.9,4577.4,142.5,961.9,1725.2,2233.3,601.6,238.0,True,2
198,12,3,5491.7,6211.1,5313.9,-177.8,719.3,2134.9,2399.6,764.9,457.2,True,1
199,11,2,3712.3,4892.2,3919.7,207.4,1179.9,2088.9,2588.2,180.5,0.0,True,2
200,13,2,4437.3,5201.4,4177.2,-260.1,764.1,1783.9,2160.9,291.5,0.0,True,1
201,13,1,4270.7,5519.8,4267.9,-2.8,1249.0,1865.8,2327.4,330.3,0.0,True,0
202,11,1,4389.7,5730.6,4198.2,-191.6,1340.9,2020.9,2438.8,392.9,0.0,True,0
203,10,5,4776.8,5384.8,4579.9,-196.9,608.0,2179.4,2678.6,590.7,0.0,True,4
204,14,4,5389.7,5783.1,4607.1,-782.6,393.4,1848.5,2370.0,1021.6,0.0,True,4
205,12,2,4368.1,5668.6,4525.9,157.9,1300.5,1795.1,2423.5,393.5,0.0,True,1
206,15,4,5375.4,6242.9,4940.2,-435.2,867.5,2087.4,2548.9,913.1,0.0,True,2
207,10,1,3914.9,4882.5,3776.3,-138.6,967.6,1720.5,2299.0,353.1,0.0,True,1
208,11,2,4399.2,5331.0,4275.2,-124.1,931.8,1768.7,2340.8,206.2,0.0,True,1
209,12,2,4237.5,5649.1,3991.9,-245.6,1411.7,1737.7,2209.4,371.0,0.0,True,0
210,12,2,4656.9,5597.6,4145.4,-511.5,940.7,1796.3,2391.2,611.0,0.0,True,1
211,16,1,4253.3,5692.5,4544.6,291.4,1439.2,1772.1,2254.8,146.2,0.0,True,0
212,16,2,4464.6,5462.6,4376.1,-88.5,998.0,1764.9,2102.5,492.5,0.0,True,1
213,16,1,4592.5,5856.9,4495.8,-96.7,1264.4,1845.5,2445.0,228.5,0.0,True,0
214,12,1,3909.8,5023.9,3951.0,41.2,1114.1,1957.2,2502.0,322.6,0.0,True,1
215,12,3,5205.3,5766.4,4406.5,-798.8,561.1,1841.3,2299.5,806.5,0.0,True,2
216,13,4,4770.0,5595.0,4184.3,-585.7,825.0,1980.6,2438.3,1095.4,0.0,True,2
217,12,4,5173.4,5891.0,4345.3,-828.2,717.6,1933.8,2252.1,655.9,0.0,True,3
218,13,4,5509.3,6239.2,4706.5,-802.8,729.9,2172.3,2533.5,845.9,0.0,True,3
219,16,3,5116.8,5773.0,4887.1,-229.7,656.2,1796.8,2372.1,627.8,0.0,True,2
220,16,4,5048.1,6106.7,4404.5,-643.6,1058.6,1923.3,2318.8,815.5,0.0,True,2
221,15,5,5269.5,5602.5,4889.7,-379.9,333.0,2008.2,2502.3,718.9,309.8,True,5
222,11,1,3423.6,4576.2,3616.7,193.1,1152.6,1678.9,2065.5,239.7,0.0,True,0
223,10,2,4316.1,4968.2,4330.4,14.3,652.1,1727.7,2399.0,223.0,0.0,True,2
224,15,3,4913.5,5646.4,4323.2,-590.3,732.9,1634.4,2235.2,655.5,0.0,True,2
225,10,1,3668.7,4642.2,3545.0,-123.6,973.5,1671.0,2250.1,237.5,0.0,True,1
226,15,1,3772.6,5198.1,3812.0,39.4,1425.5,1593.5,2029.6,66.0,0.0,True,0
227,14,2,4570.6,5725.3,4661.7,91.1,1154.7,1550.3,2179.1,211.5,0.0,True,2
228,14,4,5167.5,6537.9,4430.6,-736.9,1370.4,1928.2,2302.4,634.8,0.0,True,2
229,16,2,4576.0,5202.0,4449.5,-126.5,625.9,1639.6,2211.2,651.5,0.0,True,2
230,13,3,4283.4,5247.6,4051.2,-232.1,964.2,1771.6,2300.3,850.8,0.0,True,1
231,11,1,3955.1,5057.9,4062.9,107.8,1102.8,1987.4,2356.0,331.0,0.0,True,1
232,16,3,4523.2,5433.2,4077.0,-446.2,910.0,1683.6,2087.2,713.6,72.8,True,3
233,11,2,4191.6,4923.3,3931.0,-260.6,731.8,1876.0,2378.7,537.6,0.0,True,2
234,11,5,4647.4,5773.1,4235.1,-412.4,1125.7,1962.2,2367.0,790.3,0.0,True,3
235,10,1,3826.1,4803.4,3995.9,169.8,977.3,1875.0,2386.3,65.0,0.0,True,1
236,15,2,4086.9,5331.2,4041.9,-45.0,1244.3,1558.6,2161.1,262.9,0.0,True,1
237,16,2,5294.5,5780.3,4523.3,-771.3,485.8,2020.3,2352.3,695.4,0.0,True,2
238,12,4,4700.7,5706.7,4425.1,-275.6,1006.0,1756.6,2431.4,775.9,0.0,True,2
239,15,5,5239.5,6535.3,4885.3,-354.2,1295.9,1786.3,2167.0,696.2,0.0,True,2
240,16,3,4850.9,5987.7,4355.6,-495.3,1136.8,1809.4,2131.6,779.0,0.0,True,1
241,14,3,4513.8,5811.2,4216.2,-297.6,1297.4,1573.0,2198.1,694.3,0.0,True,1
242,12,2,4790.8,5682.4,4088.8,-702.1,891.5,1666.5,2364.1,406.8,0.0,True,1
243,15,2,4384.8,5289.2,4174.1,-210.7,904.4,2019.9,2317.3,591.0,0.0,True,1
244,14,2,4867.6,5986.1,4732.5,-135.2,1118.5,1826.9,2163.6,540.6,0.0,True,1
245,12,2,4152.5,5333.4,4326.1,173.6,1180.8,1730.5,2430.9,297.4,0.0,True,1
246,11,1,3879.1,4917.9,3873.1,-5.9,1038.8,1919.5,2552.1,403.3,0.0,True,1
247,16,4,6264.2,7655.0,6262.5,-1.6,1390.8,1866.7,2243.0,991.9,953.3,True,1
248,10,1,3739.5,4902.7,4443.0,703.5,1163.2,1853.9,2363.7,66.0,71.4,True,1
249,11,2,3877.3,4910.6,3802.2,-75.1,1033.3,1726.0,2486.2,693.1,0.0,True,1
250,14,3,4361.3,5623.1,4638.3,277.0,1261.8,1526.1,2252.8,407.8,154.3,True,2
251,14,3,5524.1,6169.1,5412.6,-111.5,645.0,2012.5,2505.4,1001.1,454.1,True,2
252,11,4,5362.0,6544.8,4518.8,-843.2,1182.8,2131.1,2531.1,956.5,0.0,True,0
253,13,1,4369.2,5812.2,4543.5,174.3,1442.9,1959.3,2197.5,66.0,66.0,True,0
254,14,4,5381.6,5820.6,4528.9,-852.7,439.0,1834.1,2176.6,1173.2,0.0,True,3
