outer_x,outer_y,inner_x,inner_y,diameter_x,diameter_y,mec_x,mec_y,diam_circle_x,diam_circle_y,observer_x,observer_y,truth_x,truth_y
,,,,,,25.489903879509264,-28.16727263316781,20.15403241856422,-24.20794187260313,,,,
,,,,,,25.787687459467527,-28.27860935151634,20.432649054687218,-24.31211236429911,,,,
,,,,,,26.087368779204212,-28.384732072675614,20.71304128190686,-24.411404459550837,,,,
,,,,,,26.388856552886264,-28.485608470636727,20.995123690034532,-24.50578791302423,,,,
,,,,,,26.69205894441724,-28.581207817471654,21.278810354036118,-24.595233974605048,,,,
,,,,,,26.99688359541151,-28.671500992693268,21.56401486020565,-24.67971539815646,,,,
,,,,,,27.30323765332745,-28.756460492125683,21.850650332487675,-24.759206449818446,,,,
,,,,,,27.611027799751312,-28.83606043628237,22.138629458940656,-24.833682915846637,,,,
,,,,,,27.920160278822866,-28.910276578249228,22.427864518332953,-24.903122109988004,,,,
,,,,,,28.230540925794354,-28.97908631107047,22.7182674068636,-24.96750288039134,,,,
,,,,,,28.542075195713995,-29.042468674634904,23.00974966499956,-25.026805616050314,,,,
,,,,,,28.854668192225247,-29.100404362060587,23.302222504421334,-25.08101225277716,,,,
,,,,,,29.168224696473228,-29.152875725575893,23.595596835068793,-25.13010627870522,,,,
,,,,,,29.482649196109254,-29.199866781895196,23.889783292278842,-25.174072739318614,,,,
,,,,,,29.797845914384855,-29.241363217087528,24.18469226400678,-25.21289824200753,,,,
,,,,,,30.113718839326232,-29.277352390936745,24.48023391812295,-25.24657096014773,,,,
,,,,,,30.430171752980534,-29.307823340791856,24.776318229776535,-25.275080636703077,,,,
,,,,,,30.747108260724712,-29.332766784906354,25.07285500881798,-25.29841858734991,,,,
,,,,,,31.06443182062828,-29.352175125265536,25.369753927271773,-25.31657770312239,,,,
,,,,,,31.382045772860916,-29.366042449900913,25.66692454685124,-25.32955245257794,,,,
,,,,,,31.69985336913595,-29.374364534691065,25.96427634650687,-25.33733888348218,,,,
,,,,,,32.0177578021809,-29.377138844648343,26.261718749999996,-25.339934624012827,,,,
,,,,,,32.33566223522585,-29.374364534691065,26.559161153493122,-25.33733888348218,,,,
,,,,,,32.6534698315009,-29.366042449900913,26.85651295314877,-25.32955245257794,,,,
,,,,,,32.97108378373352,-29.352175125265536,27.15368357272822,-25.31657770312239,,,,
,,,,,,33.28840734363709,-29.332766784906358,27.45058249118201,-25.298418587349914,,,,
,,,,,,33.605343851381264,-29.307823340791856,27.747119270223457,-25.275080636703077,,,,
,,,,,,33.921796765035566,-29.277352390936745,28.043203581877044,-25.24657096014773,,,,
