case1_poly_x,case1_poly_y,case1_mec_x,case1_mec_y,case1_diam_x,case1_diam_y,case2_poly_x,case2_poly_y,case2_mec_x,case2_mec_y,case2_diam_x,case2_diam_y,case3_poly_x,case3_poly_y,case3_mec_x,case3_mec_y,case3_diam_x,case3_diam_y
,,-1.8270909152852015,0.8134732861516009,,,,,-1.6708783559184812,1.0680876735303884,,,,,-2.109742863547662,0.9393180414763932,,
,,-1.8410097069048807,0.7814622569785475,,,,,-1.6857546664463687,1.0338745016324546,,,,,-2.125814899724494,0.9023548888561946,,
,,-1.8543677091335746,0.7492131868318245,,,,,-1.7000316090586356,0.9994069131486971,,,,,-2.141239392089638,0.8651168701955433,,
,,-1.8671608529944035,0.7167358990906004,,,,,-1.7137048348602597,0.9646954072404612,,,,,-2.1560116421933007,0.827615328555654,,
,,-1.8793852415718166,0.6840402866513378,,,,,-1.7267701788542056,0.9297505573687064,,,,,-2.170127150264997,0.789861687269398,,
,,-1.8910371511986337,0.6511363089143132,,,,,-1.739223661210126,0.89458300807322,,,,,-2.183581616584229,0.7518674464616368,,
,,-1.902113032590307,0.618033988749895,,,,,-1.7510614884766558,0.8592034717301948,,,,,-2.1963709427902187,0.7136441795461809,,
,,-1.912609511926071,0.5847434094454732,,,,,-1.762280054736934,0.8236227252891288,,,,,-2.208491233130312,0.6752035297004078,,
,,-1.9225233918766378,0.5512747116339984,,,,,-1.772875942707001,0.7878516069900678,,,,,-2.2199387956466587,0.6365572063186454,,
,,-1.9318516525781364,0.517638090205042,,,,,-1.7828459247767363,0.7519010130621677,,,,,-2.230710143300821,0.5977169814453703,,
,,-1.940591452551993,0.48384379119933546,,,,,-1.7921869639930204,0.7157818944045988,,,,,-2.24080199503596,0.5586946861893316,,
,,-1.9487401295704703,0.4499021086877304,,,,,-1.8008962149848189,0.6795052532508002,,,,,-2.2502112767762745,0.5195022071196835,,
,,-1.9562952014676114,0.41582338163551863,,,,,-1.8089710248299122,0.6430821398170852,,,,,-2.2589351223633973,0.48015148264521507,,
,,-1.963254366895328,0.38161799075308994,,,,,-1.8164089338629978,0.6065236489366458,,,,,-2.266970874429452,0.44065449937780193,,
,,-1.969615506024416,0.34729635533386055,,,,,-1.8232076764249323,0.5698409166799527,,,,,-2.2743160852065154,0.40102328848116137,,
,,-1.9753766811902753,0.31286893008046196,,,,,-1.8293651815528704,0.5330451169626067,,,,,-2.2809685172722305,0.36126992200605057,,
,,-1.9805361374831407,0.27834620192013065,,,,,-1.8348795736111014,0.49614745814164884,,,,,-2.286926144231346,0.3214065092129954,,
,,-1.985092303282644,0.2437386868102951,,,,,-1.839749172862384,0.4591591796013933,,,,,-2.292187151332978,0.28144519288370023,,
,,-1.9890437907365466,0.20905692653530747,,,,,-1.8439724959796144,0.4220915483297962,,,,,-2.296749936023398,0.24139814562223186,,
,,-1.992389396183491,0.1743114854953164,,,,,-1.847548256497659,0.38495585548642397,,,,,-2.3006131084341894,0.20127756614712963,,
,,-1.9951281005196484,0.13951294748825105,,,,,-1.8504753652052244,0.34776341296306024,,,,,-2.3037754918056117,0.16109567557556043,,
,,-1.9972590695091477,0.10467191248588761,,,,,-1.8527529304766428,0.31052554993798687,,,,,-2.306236122845056,0.12086471370064102,,
,,-1.9987816540381915,0.06979899340500229,,,,,-1.854380258543469,0.27325360942501464,,,,,-2.307994252020471,0.08059693526308664,,
,,-1.9996953903127825,0.03490481287456688,,,,,-1.8553568537058103,0.23595894481828325,,,,,-2.309049343788678,0.04030460621829007,,
,,-2.0,2.4492935982947064e-16,,,,,-1.8556824184833187,0.19865291643391528,,,,,-2.3094010767585034,9.48953878435069e-16,,
,,-1.9996953903127825,-0.03490481287456727,,,,,-1.8553568537058103,0.1613468880495464,,,,,-2.309049343788678,-0.0403046062182892,,
,,-1.9987816540381915,-0.0697989934050018,,,,,-1.854380258543469,0.12405222344281593,,,,,-2.307994252020471,-0.08059693526308474,,
,,-1.9972590695091477,-0.10467191248588713,,,,,-1.8527529304766428,0.08678028292984369,,,,,-2.306236122845056,-0.12086471370063911,,
,,-1.9951281005196484,-0.13951294748825055,,,,,-1.8504753652052244,0.0495424199047704,,,,,-2.3037754918056117,-0.1610956755755585,,
,,-1.992389396183491,-0.1743114854953159,,,,,-1.847548256497659,0.01234997738140664,,,,,-2.3006131084341894,-0.20127756614712772,,
